City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Butaritari,KI,82.56,light rain,3.0707,172.7902,Isles Sunset Lodge
3,Hithadhoo,MV,82.76,broken clouds,-0.6,73.0833,Scoop Guest House
9,Saint-Philippe,RE,84.47,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
12,Ullal,IN,86.95,few clouds,12.8,74.85,AK INTERNATIONAL LODGE
14,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
15,Souillac,MU,78.37,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
17,Pitimbu,BR,82.99,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
19,Alice Springs,AU,89.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
29,Trinidad,BO,81.1,scattered clouds,-14.8333,-64.9,Hotel Piesta
34,Batticaloa,LK,83.8,scattered clouds,7.7102,81.6924,Grand Star Guest House
36,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
40,Braganca,BR,84.0,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
45,Roebourne,AU,84.24,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
54,Marang,MY,81.05,scattered clouds,5.2056,103.2059,DBarakah Homestay
56,Labuhan,ID,84.67,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
58,Cabo San Lucas,MX,77.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
61,Beloha,MG,78.96,few clouds,-25.1667,45.05,
69,Ixtapa,MX,75.36,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
71,Namatanai,PG,77.56,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
76,Kuala Terengganu,MY,81.45,broken clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
77,Mahibadhoo,MV,82.58,few clouds,3.7833,72.9667,Omadhoo Inn
81,Faanui,PF,78.58,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
83,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
86,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
88,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
89,Dabola,GN,81.77,overcast clouds,10.75,-11.1167,Hotel Tinkisso
93,Kapaa,US,75.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
101,Akonolinga,CM,80.15,light rain,3.7667,12.25,Le Diamant De Mireille
114,Santa Marta,CO,77.67,few clouds,11.2408,-74.199,Casa de Isabella
115,Kavieng,PG,80.94,moderate rain,-2.5744,150.7967,Nusa Island Retreat
117,Ampanihy,MG,84.56,clear sky,-24.7,44.75,Angora Hotel
125,Ghugus,IN,83.55,clear sky,19.9333,79.1333,Rajiv Colony Tempo Club
126,Humberto De Campos,BR,82.53,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
130,Bougouni,ML,87.8,overcast clouds,11.417,-7.479,Non Stop
136,Luganville,VU,78.35,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
138,Namibe,AO,78.55,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
139,Benghazi,LY,76.64,broken clouds,32.1167,20.0667,Tibesti Hotel
141,Saint-Joseph,RE,83.46,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
144,Palmas,BR,80.47,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
149,Ndele,CF,84.87,broken clouds,8.4109,20.6473,
150,Fiumicino,IT,77.07,broken clouds,41.7675,12.2291,Al Porticciolo Hotel
152,Morondava,MG,77.43,clear sky,-20.2833,44.2833,La Case Bambou
155,Jijiga,ET,80.76,broken clouds,9.35,42.8,RAMAAS HOTEL
156,Broken Hill,AU,75.96,clear sky,-31.95,141.4333,Royal Exchange Hotel
158,Bairiki,KI,80.6,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
159,Atuona,PF,77.88,scattered clouds,-9.8,-139.0333,Villa Enata
161,Anloga,GH,82.8,moderate rain,5.7947,0.8973,Pin Drop Hotel
162,Caxito,AO,88.41,overcast clouds,-8.5785,13.6643,
167,Kavaratti,IN,82.51,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
169,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
172,Salalah,OM,81.37,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
174,Malpe,IN,87.1,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
183,Lubango,AO,83.68,scattered clouds,-14.9172,13.4925,Hotel Serra da Chela
185,Keti Bandar,PK,82.09,broken clouds,24.1447,67.4497,Haji laloo memon house
186,Awbari,LY,85.69,overcast clouds,26.5921,12.7805,فندق أوباري
188,Manali,IN,89.69,overcast clouds,13.1667,80.2667,Sarathy Lodge
191,Sakakah,SA,85.8,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
192,Maracaibo,VE,76.53,clear sky,10.6317,-71.6406,Motel Aladdin
193,Dingle,PH,76.46,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
197,Sao Jose Da Coroa Grande,BR,81.19,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
201,Manokwari,ID,79.86,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
203,Merauke,ID,82.31,broken clouds,-8.4667,140.3333,
207,Posse,BR,75.49,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
208,Mackay,AU,79.05,scattered clouds,-21.15,149.2,International Lodge Motel
210,Buluang,PH,77.92,broken clouds,13.3068,123.3425,Enon Beach Resort
213,Port Blair,IN,82.42,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
214,Faya,SA,77.52,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
218,Grand Gaube,MU,78.39,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
222,Jinka,ET,81.72,overcast clouds,5.65,36.65,
226,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
233,Jalu,LY,82.2,clear sky,29.0331,21.5482,صاحبة الفخامة
234,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
237,Mumford,GH,81.95,light rain,5.2618,-0.759,Spanish Villa
242,Angoche,MZ,81.75,broken clouds,-16.2325,39.9086,Guest House HESADA
244,Atar,MR,87.6,scattered clouds,20.5169,-13.0499,Oumou Elghoura
253,Nalut,LY,86.67,scattered clouds,30.3333,10.85,
255,Porto Novo,BJ,89.83,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
257,Touros,BR,85.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
258,Luanda,AO,77.5,overcast clouds,-8.8368,13.2343,Hotel Fórum
263,Culebra,PR,83.19,clear sky,18.303,-65.301,Palmetto Guesthouse
265,Banyo,CM,75.92,light rain,6.75,11.8167,Motel JOMBA
271,Bouca,CF,86.36,broken clouds,6.5105,18.2733,
272,Trincomalee,LK,83.88,broken clouds,8.5711,81.2335,Welcombe Hotel
275,Lorengau,PG,80.58,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
281,Alexandria,EG,75.18,broken clouds,31.2156,29.9553,Royal Crown Hotel
282,Poum,NC,75.33,clear sky,-20.2333,164.0167,Gîte kajeon
285,Matay,EG,81.93,clear sky,28.419,30.7792,Nag Aespen
287,Manicore,BR,75.69,overcast clouds,-5.8092,-61.3003,Hotel Durval
288,Pemba,MZ,78.46,scattered clouds,-12.974,40.5178,Guesthouse Samotina
290,Bealanana,MG,86.0,broken clouds,-14.55,48.7333,
292,Bima,ID,80.64,broken clouds,-8.4667,118.7167,Lambitu Hotel
300,Bequimao,BR,84.52,overcast clouds,-2.4489,-44.7825,Casa Dom Joaquim
301,Yeppoon,AU,78.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
303,Coahuayana,MX,77.31,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
305,Kismayo,SO,81.03,overcast clouds,-0.3582,42.5454,Agan-Hotel
309,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
310,Bengkulu,ID,79.54,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
315,Lucapa,AO,82.15,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
317,San Fernando,PH,85.14,overcast clouds,15.0286,120.6898,Maharlika Hostel
322,Kihei,US,77.85,clear sky,20.785,-156.4656,Maui Sunset
324,Saint-Pierre,RE,84.56,light rain,-21.3393,55.4781,Lindsey Hôtel
325,Kalmunai,LK,84.16,broken clouds,7.4167,81.8167,VS Villa
328,Carutapera,BR,83.91,broken clouds,-1.195,-46.02,Lidera
329,Hervey Bay,AU,77.04,broken clouds,-25.2986,152.8535,Shelly Bay Resort
331,Santa Catalina,PH,80.35,light rain,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
334,Misratah,LY,79.09,broken clouds,32.3754,15.0925,فندق الماسة
338,Cururupu,BR,82.24,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
345,Ayutthaya,TH,86.04,moderate rain,14.2833,100.5,Bann Thai Kae Ook
346,Abonnema,NG,81.99,moderate rain,4.7084,6.7931,Corper's Lodge Obonoma
347,Auki,SB,79.45,overcast clouds,-8.7676,160.7034,Auki Motel
348,La Asuncion,VE,79.3,broken clouds,11.0333,-63.8628,Colinas de Matasiete
353,Kloulklubed,PW,81.1,few clouds,7.0419,134.2556,Storyboard Beach Resort
359,Bechem,GH,89.11,broken clouds,7.0903,-2.025,Orange Hotel
360,Sao Filipe,CV,83.12,clear sky,14.8961,-24.4956,Hotel Xaguate
362,Conakry,GN,82.36,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
366,Umm Lajj,SA,84.29,clear sky,25.0213,37.2685,Moon light Furnished Units
367,Bosaso,SO,86.56,clear sky,11.2842,49.1816,Red Sea Hotel
368,Pangkalanbuun,ID,75.16,heavy intensity rain,-2.6833,111.6167,Grand Kecubung Hotel
369,Siderno,IT,78.69,scattered clouds,38.2779,16.302,Grand Hotel President
372,Siniscola,IT,76.55,broken clouds,40.5719,9.6922,Hotel Sa Tanca E Bore
374,Port-Gentil,GA,78.17,broken clouds,-0.7193,8.7815,Fengshui Residence
375,Hambantota,LK,82.94,broken clouds,6.1241,81.1185,Bungalow 63
379,Lahaina,US,77.81,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
380,Kandrian,PG,77.76,light rain,-6.2167,149.55,Kandrian Station
382,Tabou,CI,80.24,light rain,4.423,-7.3528,hotêl doufoulougou
384,Lumeje,AO,87.31,broken clouds,-11.55,20.7833,
388,Bonoua,CI,80.22,light rain,5.2741,-3.595,Hotel Bon Samaritian
389,Maragogi,BR,81.25,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
390,Wote,KE,84.85,scattered clouds,-1.7808,37.6288,Midways Hotel
392,Kendari,ID,79.14,broken clouds,-3.945,122.4989,Hotel Wixel
401,Ghogha,IN,83.39,clear sky,21.6833,72.2833,hanumanji temple of bhankhal
403,Adrar,MR,82.76,broken clouds,20.5022,-10.0711,
412,Siraha,NP,81.41,few clouds,26.6541,86.2087,Prashant Yadav Home
415,Rayadrug,IN,84.92,overcast clouds,14.7,76.8667,Mali arts
421,Kiunga,PG,77.38,scattered clouds,-6.1219,141.2906,Airport Lodge Kiunga
424,Biak,ID,79.21,overcast clouds,-0.9131,122.8766,Penginapan Kim
432,Boca Do Acre,BR,76.37,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
433,Mahanoro,MG,79.34,few clouds,-19.9,48.8,BUNGALOW MAHAMANINA
438,Richards Bay,ZA,88.97,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
439,Progreso,MX,76.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
446,Praia,CV,88.34,clear sky,14.9215,-23.5087,LT Aparthotel
447,Gurgaon,IN,87.84,clear sky,28.4667,77.0333,Habitare Tamura
455,Samdari,IN,88.34,clear sky,25.8167,72.5833,Karnoba Ki Dhani
457,Hobyo,SO,83.14,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
458,Gopalganj,IN,83.17,clear sky,26.4667,84.4333,SPOT ON 62129 Hotel Shabnam SPOT
461,Koutiala,ML,84.78,overcast clouds,12.3917,-5.4642,Hotel La Chaumiere
463,Tomatlan,MX,75.79,scattered clouds,19.9333,-105.25,El Salvial
465,Yulara,AU,85.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
467,Guanica,PR,80.91,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
470,Shinpokh,PK,78.21,scattered clouds,34.3292,71.1782,
471,Emerald,AU,76.98,broken clouds,-23.5333,148.1667,The Irish Village
473,Palasa,IN,82.29,scattered clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
474,Elat,IL,83.23,clear sky,29.5581,34.9482,Club Hotel Eilat
478,Mozarlandia,BR,84.2,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
479,Miragoane,HT,79.52,scattered clouds,18.4423,-73.0876,MMM K-TICHON
482,Luwuk,ID,80.28,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
483,Dicabisagan,PH,78.87,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
489,Thinadhoo,MV,83.14,scattered clouds,0.5333,72.9333,
493,Baran,IN,85.39,clear sky,25.1,76.5167,Hotel shree ji
494,Lufilufi,WS,78.58,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
496,Manono,CD,80.17,moderate rain,-7.3,27.4167,Hotel hewa bora
498,Paracuru,BR,84.22,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
502,Raga,SS,87.71,overcast clouds,8.4596,25.678,
507,Waingapu,ID,81.43,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
508,Kununurra,AU,87.78,few clouds,-15.7667,128.7333,Hotel Kununurra
510,Matara,LK,81.97,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
514,Amahai,ID,79.21,broken clouds,-3.3333,128.9167,HOTEL ISABELA
515,Jadu,LY,81.03,broken clouds,31.953,12.0261,امياس للصرافة
518,Mutoko,ZW,86.88,clear sky,-17.397,32.2268,Mutoko Hotel
521,Gat,IL,82.4,few clouds,31.61,34.7642,OlusHome
528,Kuching,MY,79.02,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
532,San Policarpo,PH,80.2,overcast clouds,12.1791,125.5072,Agapita M. Nicart
534,The Valley,AI,83.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
539,Dhidhdhoo,MV,81.66,broken clouds,6.8833,73.1,Dhidhoo beach
548,Cockburn Town,TC,83.53,few clouds,21.4612,-71.1419,Osprey Beach Hotel
