City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,68,75,3.44,broken clouds
1,Longyearbyen,SJ,78.2186,15.6401,19.24,86,75,10.36,broken clouds
2,Butaritari,KI,3.0707,172.7902,82.56,78,37,16.33,light rain
3,Hithadhoo,MV,-0.6,73.0833,82.76,72,76,11.27,broken clouds
4,Cape Town,ZA,-33.9258,18.4232,67.1,60,75,5.99,broken clouds
5,Chokurdakh,RU,70.6333,147.9167,-16.89,100,52,2.19,broken clouds
6,Esperance,AU,-33.8667,121.9,55.78,63,30,8.99,scattered clouds
7,Bilibino,RU,68.0546,166.4372,-3.51,100,100,2.13,overcast clouds
8,Swift Current,CA,50.2834,-107.8014,22.01,93,20,3.44,mist
9,Saint-Philippe,RE,-21.3585,55.7679,84.47,80,52,10.63,light rain
10,Platanos,GR,37.6667,21.6167,74.08,64,16,7.36,few clouds
11,Tasiilaq,GL,65.6145,-37.6368,32.16,65,100,4.68,overcast clouds
12,Ullal,IN,12.8,74.85,86.95,74,20,5.75,few clouds
13,Ushuaia,AR,-54.8,-68.3,42.42,81,100,9.06,overcast clouds
14,Kahului,US,20.8947,-156.47,77.85,81,1,6.91,clear sky
15,Souillac,MU,-20.5167,57.5167,78.37,67,86,11.01,overcast clouds
16,New Norfolk,AU,-42.7826,147.0587,60.91,64,100,2.42,overcast clouds
17,Pitimbu,BR,-7.4706,-34.8086,82.99,71,96,9.33,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,73.65,79,99,24.18,light rain
19,Alice Springs,AU,-23.7,133.8833,89.15,18,27,10.36,scattered clouds
20,Donji Vakuf,BA,44.1436,17.4,58.95,86,100,3.96,overcast clouds
21,Yarmouth,US,41.7057,-70.2286,67.17,89,75,8.01,broken clouds
22,Aswan,EG,24.0934,32.907,92.39,17,0,13.98,clear sky
23,Kobryn,BY,52.2138,24.3564,50.47,52,82,20.92,broken clouds
24,Linxia,CN,35.6003,103.2064,51.69,62,5,5.68,clear sky
25,Hasaki,JP,35.7333,140.8333,54.0,87,100,21.41,overcast clouds
26,Ariquemes,BR,-9.9133,-63.0408,74.64,95,96,2.91,overcast clouds
27,Punta Arenas,CL,-53.15,-70.9167,44.71,61,90,18.41,overcast clouds
28,Pevek,RU,69.7008,170.3133,13.06,93,100,9.6,light snow
29,Trinidad,BO,-14.8333,-64.9,81.1,64,50,5.75,scattered clouds
30,Novo Mesto,SI,45.804,15.1689,61.47,94,100,2.04,overcast clouds
31,Orchard Homes,US,46.8633,-114.0484,43.92,84,1,0.0,clear sky
32,Ribeira Grande,PT,38.5167,-28.7,70.2,78,20,4.61,few clouds
33,Nikolskoye,RU,59.7035,30.7861,48.87,62,99,18.59,light rain
34,Batticaloa,LK,7.7102,81.6924,83.8,74,47,10.16,scattered clouds
35,Karpathos,GR,35.507,27.2132,73.36,53,20,10.36,few clouds
36,Georgetown,MY,5.4112,100.3354,85.95,77,20,4.61,few clouds
37,Bereda,ES,43.2686,-7.5406,59.92,100,94,6.22,overcast clouds
38,Fairbanks,US,64.8378,-147.7164,24.6,88,1,3.44,clear sky
39,Grindavik,IS,63.8424,-22.4338,39.67,93,75,18.41,light rain
40,Braganca,BR,-1.0536,-46.7656,84.0,67,90,3.83,overcast clouds
41,Hobart,AU,-42.8794,147.3294,61.27,85,75,4.61,broken clouds
42,Mataura,NZ,-46.1927,168.8643,45.12,91,92,0.72,overcast clouds
43,Ancud,CL,-41.8697,-73.8203,46.42,85,73,5.79,broken clouds
44,Busselton,AU,-33.65,115.3333,59.09,67,1,10.96,clear sky
45,Roebourne,AU,-20.7833,117.1333,84.24,40,10,13.44,clear sky
46,Jamestown,US,42.097,-79.2353,51.12,99,90,3.0,mist
47,Cidreira,BR,-30.1811,-50.2056,64.78,75,3,5.28,clear sky
48,Airai,TL,-8.9266,125.4092,65.75,83,99,0.47,overcast clouds
49,Bluff,NZ,-46.6,168.3333,50.79,86,75,6.22,broken clouds
50,Massakory,TD,12.996,15.7293,96.21,28,56,3.47,broken clouds
51,Port Elizabeth,ZA,-33.918,25.5701,67.1,81,100,21.77,light rain
52,Brae,GB,60.3964,-1.353,46.31,57,77,23.47,broken clouds
53,Bethel,US,41.3712,-73.414,63.48,89,1,6.91,clear sky
54,Marang,MY,5.2056,103.2059,81.05,78,49,3.4,scattered clouds
55,Vredendal,ZA,-31.6683,18.5012,69.64,46,100,22.73,overcast clouds
56,Labuhan,ID,-6.8844,112.2051,84.67,72,77,8.37,broken clouds
57,Lavrentiya,RU,65.5833,-171.0,24.13,84,100,10.65,overcast clouds
58,Cabo San Lucas,MX,22.8909,-109.9124,77.5,85,0,1.99,clear sky
59,Susaki,JP,33.3667,133.2833,56.55,80,16,7.45,few clouds
60,Voznesenye,RU,61.0106,35.4781,45.68,70,49,19.77,scattered clouds
61,Beloha,MG,-25.1667,45.05,78.96,41,16,14.5,few clouds
62,Rock Springs,US,41.5875,-109.2029,38.64,65,1,0.0,clear sky
63,Barrow,US,71.2906,-156.7887,28.42,86,90,0.0,snow
64,Torbay,CA,47.6666,-52.7314,44.28,89,55,1.99,very heavy rain
65,Arzgir,RU,45.3728,44.2206,69.12,21,13,7.61,few clouds
66,Hay River,CA,60.8156,-115.7999,36.72,75,0,10.04,clear sky
67,Katherine,AU,-14.4667,132.2667,91.72,46,48,8.05,scattered clouds
68,Siuna,NI,13.7332,-84.7773,70.75,98,84,2.51,broken clouds
69,Ixtapa,MX,20.7,-105.2,75.36,94,88,2.53,overcast clouds
70,Nova Londrina,BR,-22.7658,-52.985,67.01,67,0,12.84,clear sky
71,Namatanai,PG,-3.6667,152.4333,77.56,85,100,5.86,overcast clouds
72,Henties Bay,NA,-22.116,14.2845,64.92,64,4,10.8,clear sky
73,Zhigansk,RU,66.7697,123.3711,10.0,98,100,3.83,overcast clouds
